Date,Closing Price,Opening Price,High Price,Low Price,Volume,Percentage Change,MA10,MA50,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Volatility
2024-05-23,152.8,153.8,154.3,152.0,211370000.0,-1.1,153.52,154.05,152.6,155.8,153.8,152.0,152.2,1.290822304665677
2024-05-22,154.5,154.8,156.1,153.9,220480000.0,0.85,153.72,154.014,152.8,152.6,155.8,153.8,152.0,1.269995625539334
2024-05-21,153.2,153.0,153.3,152.3,206230000.0,0.92,153.62,153.87,154.5,152.8,152.6,155.8,153.8,1.267368226768527
2024-05-20,151.8,152.0,154.4,151.5,357280000.0,0.0,153.3,153.732,153.2,154.5,152.8,152.6,155.8,1.2840906856173044
2024-05-17,151.8,152.0,156.5,151.6,417050000.0,-1.43,153.05,153.57399999999998,151.8,153.2,154.5,152.8,152.6,1.3108521401491444
2024-05-16,154.0,156.7,157.6,153.4,381520000.0,-1.72,153.23,153.496,151.8,151.8,153.2,154.5,152.8,1.3047349667014985
2024-05-15,156.7,158.1,159.0,156.7,322150000.0,-1.76,153.7,153.468,154.0,151.8,151.8,153.2,154.5,1.6206994374858044
2024-05-14,159.5,160.0,161.3,159.5,289390000.0,-0.44,154.27,153.488,156.7,154.0,151.8,151.8,153.2,2.449965986158452
2024-05-13,160.2,160.1,161.6,160.0,318640000.0,-1.29,154.71,153.47799999999998,159.5,156.7,154.0,151.8,151.8,3.0715359892622525
2024-05-10,162.3,169.0,170.1,160.9,437080000.0,-3.34,155.68,153.526,160.2,159.5,156.7,154.0,151.8,3.780887608896996
2024-05-09,167.9,168.1,169.2,167.9,130100000.0,-0.12,157.19,153.704,162.3,160.2,159.5,156.7,154.0,5.237567289411231
2024-05-08,168.1,170.1,170.6,168.1,132530000.0,-1.0,158.55,153.85,167.9,162.3,160.2,159.5,156.7,6.148034916404781
2024-05-07,169.8,170.5,170.8,168.8,144730000.0,-0.35,160.20999999999998,154.05200000000002,168.1,167.9,162.3,160.2,159.5,6.7541674377954495
2024-05-02,170.4,171.0,171.0,169.6,123660000.0,-0.06,162.07,154.316,169.8,168.1,167.9,162.3,160.2,6.741916971043363
2024-05-01,170.5,170.2,171.2,169.9,87150000.0,-0.18,163.94,154.552,170.4,169.8,168.1,167.9,162.3,6.143686913318945
2024-04-30,170.8,170.3,170.9,169.3,152800000.0,1.55,165.62,154.778,170.5,170.4,169.8,168.1,167.9,5.372109041666293
2024-04-26,168.2,168.5,168.9,167.5,219860000.0,-0.71,166.77,154.976,170.8,170.5,170.4,169.8,168.1,4.391924407363682
2024-04-25,169.4,170.0,171.1,169.0,164720000.0,-0.94,167.76000000000002,155.234,168.2,170.8,170.5,170.4,169.8,3.618839593018257
2024-04-24,171.0,172.4,172.4,169.8,192820000.0,-0.23,168.84,155.568,169.4,168.2,170.8,170.5,170.4,2.57215862652291
2024-04-23,171.4,172.3,173.4,171.0,133770000.00000001,-0.35,169.75,155.878,171.0,169.4,168.2,170.8,170.5,1.2929294902130841
2024-04-22,172.0,170.9,172.5,170.8,193570000.0,2.44,170.16,156.166,171.4,171.0,169.4,168.2,170.8,1.2911665698534043
2024-04-19,167.9,168.1,168.3,166.0,324950000.0,-1.12,170.14000000000001,156.35399999999998,172.0,171.4,171.0,169.4,168.2,1.3276545735478629
2024-04-18,169.8,169.1,170.8,169.0,179470000.0,-0.06,170.14000000000001,156.626,167.9,172.0,171.4,171.0,169.4,1.3276545735478629
2024-04-17,169.9,172.2,172.3,169.3,190920000.0,-1.45,170.09,156.9,169.8,167.9,172.0,171.4,171.0,1.3261891938082138
2024-04-16,172.4,173.1,173.5,171.7,230620000.0,-1.26,170.28,157.312,169.9,169.8,167.9,172.0,171.4,1.514228809950711
2024-04-15,174.6,174.5,175.1,173.7,144590000.0,-0.34,170.66000000000003,157.77800000000002,172.4,169.9,169.8,167.9,172.0,2.0435263639101304
2024-04-12,175.2,175.0,175.7,174.6,135430000.0,-0.06,171.35999999999999,158.256,174.6,172.4,169.9,169.8,167.9,2.2911423642648034
2024-04-11,175.3,175.3,176.1,174.6,111470000.0,-0.17,171.95,158.74400000000003,175.2,174.6,172.4,169.9,169.8,2.4820466465300384
2024-04-10,175.6,176.8,176.8,175.1,103790000.0,-0.68,172.41,159.268,175.3,175.2,174.6,172.4,169.9,2.7028585690782645
2024-04-09,176.8,175.7,176.9,175.3,152410000.0,0.74,172.95,159.864,175.6,175.3,175.2,174.6,172.4,3.0015736613382824
2024-04-08,175.5,174.5,176.0,174.5,153480000.0,0.29,173.3,160.454,176.8,175.6,175.3,175.2,174.6,3.0814859330444366
2024-04-05,175.0,174.0,175.2,173.0,177550000.0,0.0,174.01,161.042,175.5,176.8,175.6,175.3,175.2,2.452866803467034
2024-04-04,175.0,178.0,178.0,174.8,278400000.0,-1.3,174.53,161.632,175.0,175.5,176.8,175.6,175.3,1.9635851564578457
2024-04-03,177.3,177.0,177.8,176.2,173360000.0,-0.06,175.27,162.28,175.0,175.0,175.5,176.8,175.6,1.3106826041737325
2024-04-02,177.4,177.0,178.4,176.5,159740000.0,0.4,175.77,162.898,177.3,175.0,175.0,175.5,176.8,1.0143963722306246
2024-04-01,176.7,180.0,180.1,176.7,219680000.0,-1.72,175.98,163.476,177.4,177.3,175.0,175.0,175.5,0.9612491872530244
2024-03-29,179.8,180.1,180.8,179.4,198080000.0,-0.11,176.44,164.112,176.7,177.4,177.3,175.0,175.0,1.4975535605316983
2024-03-28,180.0,181.0,181.9,180.0,194140000.0,-2.17,176.91,164.708,179.8,176.7,177.4,177.3,175.0,1.805823911679761
2024-03-27,184.0,184.0,184.8,183.7,190680000.0,-0.11,177.75,165.364,180.0,179.8,176.7,177.4,177.3,2.8056490633471682
2024-03-26,184.2,183.7,185.2,182.7,150800000.0,0.66,178.49,166.048,184.0,180.0,179.8,176.7,177.4,3.432993510689825
2024-03-25,183.0,184.3,184.4,182.5,136080000.0,-0.27,179.24,166.68200000000002,184.2,184.0,180.0,179.8,176.7,3.5252107895989635
2024-03-22,183.5,181.0,184.1,180.8,234840000.0,1.83,180.09,167.30200000000002,183.0,184.2,184.0,180.0,179.8,3.412216614199028
2024-03-21,180.2,182.1,183.0,180.0,303570000.0,-1.04,180.61,167.822,183.5,183.0,184.2,184.0,180.0,2.909543683198106
2024-03-19,182.1,181.0,182.9,180.3,183220000.0,0.66,181.08999999999997,168.36399999999998,180.2,183.5,183.0,184.2,184.0,2.6904976821716966
2024-03-18,180.9,181.1,181.8,180.7,140510000.0,0.22,181.44,168.896,182.1,180.2,183.5,183.0,184.2,2.365116863449084
2024-03-15,180.5,180.5,181.9,180.4,196360000.0,-0.72,181.82,169.46199999999996,180.9,182.1,180.2,183.5,183.0,1.742157028256783
2024-03-14,181.8,180.5,182.2,180.2,119550000.0,0.66,182.02,170.058,180.5,180.9,182.1,180.2,183.5,1.5929009176112334
2024-03-13,180.6,180.9,181.6,180.0,122310000.0,-0.17,182.07999999999998,170.59400000000002,181.8,180.5,180.9,182.1,180.2,1.517893276878638
2024-03-12,180.9,181.3,182.3,180.0,157160000.0,-0.82,181.77,171.09600000000003,180.6,181.8,180.5,180.9,182.1,1.39367619385808
2024-03-11,182.4,185.1,185.1,180.7,174600000.0,-1.67,181.59,171.692,180.9,180.6,181.8,180.5,180.9,1.1376877134463477
2024-03-08,185.5,184.8,185.5,183.0,194970000.0,0.76,181.84,172.34599999999998,182.4,180.9,180.6,181.8,180.5,1.6439789130825448
2024-03-07,184.1,181.5,184.3,181.4,189960000.0,1.1,181.9,172.938,185.5,182.4,180.9,180.6,181.8,1.7204650534066024
2024-03-06,182.1,180.2,183.2,180.2,153550000.0,0.77,182.08999999999997,173.51600000000002,184.1,185.5,182.4,180.9,180.6,1.6134504089731307
2024-03-05,180.7,180.0,181.5,180.0,139330000.0,0.0,181.95,174.09399999999997,182.1,184.1,185.5,182.4,180.9,1.6721576214892198
2024-03-04,180.7,181.0,182.3,180.5,156420000.0,0.0,181.93,174.672,180.7,182.1,184.1,185.5,182.4,1.6872396918550603
2024-03-01,180.7,182.1,182.2,180.7,184180000.0,-0.88,181.95,175.206,180.7,180.7,182.1,184.1,185.5,1.6694975957501719
2024-02-29,182.3,183.1,183.9,182.3,140080000.0,-0.65,182.0,175.718,180.7,180.7,180.7,182.1,184.1,1.6719914938626113
2024-02-28,183.5,183.1,184.4,182.1,131490000.00000001,0.55,182.29000000000002,176.19799999999998,182.3,180.7,180.7,180.7,182.1,1.6535819705495798
2024-02-27,182.5,182.5,183.5,182.0,127590000.0,0.27,182.45,176.644,183.5,182.3,180.7,180.7,180.7,1.5799085768184093
2024-02-26,182.0,180.0,182.1,179.3,211870000.0,0.78,182.41,177.03799999999998,182.5,183.5,182.3,180.7,180.7,1.5863655176373521
2024-02-22,180.6,181.4,182.3,180.6,179050000.0,-0.77,181.92,177.292,182.0,182.5,183.5,182.3,180.7,1.2461496253990698
2024-02-21,182.0,180.7,182.6,180.7,157200000.0,0.22,181.70999999999998,177.57,180.6,182.0,182.5,183.5,182.3,0.9882082551511837
2024-02-20,181.6,183.2,183.9,181.6,154040000.0,0.17,181.66000000000003,177.80599999999998,182.0,180.6,182.0,182.5,183.5,0.9788882582887699
2024-02-19,181.3,182.1,182.6,181.3,119500000.0,-1.04,181.72,178.024,181.6,182.0,180.6,182.0,182.5,0.9307106006786463
2024-02-16,183.2,182.1,185.5,181.7,209980000.0,1.22,181.97,178.278,181.3,181.6,182.0,180.6,182.0,0.9615381196545911
2024-02-15,181.0,182.8,182.9,180.3,165040000.0,-0.17,182.0,178.48199999999997,183.2,181.3,181.6,182.0,180.6,0.9213516640687265
2024-02-14,181.3,180.1,181.9,179.9,151750000.0,0.17,181.9,178.74400000000003,181.0,183.2,181.3,181.6,182.0,0.9392668535701455
2024-02-13,181.0,182.0,182.6,179.8,153820000.0,0.11,181.65,178.97600000000003,181.3,181.0,183.2,181.3,181.6,0.7863417408014917
2024-02-09,180.8,178.3,181.9,176.8,202670000.0,0.84,181.48,179.172,181.0,181.3,181.0,183.2,181.3,0.7656515018046022
2024-02-08,179.3,184.3,184.9,179.3,277840000.0,-2.24,181.20999999999998,179.33,180.8,181.0,181.3,181.0,183.2,1.0016098153551092
2024-02-07,183.4,181.4,184.1,180.6,140670000.0,0.0,181.49,179.558,179.3,180.8,181.0,181.3,181.0,1.1864512913137573
2024-02-06,183.4,186.0,186.5,183.4,159650000.0,-1.77,181.63000000000002,179.868,183.4,179.3,180.8,181.0,181.3,1.3275290329505856
2024-02-05,186.7,189.1,189.3,186.4,127490000.0,-0.43,182.14,180.20600000000002,183.4,183.4,179.3,180.8,181.0,2.0807050087233807
2024-02-02,187.5,187.5,188.2,186.6,104500000.0,0.16,182.76,180.55800000000002,186.7,183.4,183.4,179.3,180.8,2.648773300981622
2024-02-01,187.2,185.7,187.9,185.6,122600000.0,0.48,183.16,180.85399999999998,187.5,186.7,183.4,183.4,179.3,3.0011849511658037
2024-01-31,186.3,185.0,186.3,183.9,141460000.0,0.65,183.69,181.08800000000002,187.2,187.5,186.7,183.4,183.4,3.0450141397215162
2024-01-30,185.1,187.0,187.6,185.1,136840000.0,0.05,184.07,181.28599999999997,186.3,187.2,187.5,186.7,183.4,2.9492183521878554
2024-01-29,185.0,183.4,185.3,183.4,91500000.0,0.87,184.47,181.48,185.1,186.3,187.2,187.5,186.7,2.7511815643451563
2024-01-26,183.4,185.5,185.9,183.4,145140000.0,-1.56,184.73,181.63600000000002,185.0,185.1,186.3,187.2,187.5,2.474783941185202
2024-01-25,186.3,186.6,188.3,186.3,101700000.0,-0.64,185.43,181.826,183.4,185.0,185.1,186.3,187.2,1.6055805457470211
2024-01-24,187.5,189.0,189.6,186.9,138930000.0,-1.21,185.84,182.06599999999997,186.3,183.4,185.0,185.1,186.3,1.5522027358968349
2024-01-23,189.8,191.9,192.9,189.7,144950000.0,-0.73,186.48,182.36199999999997,187.5,186.3,183.4,185.0,185.1,1.7421570282564052
2024-01-22,191.2,189.0,191.2,188.6,165390000.0,2.19,186.93,182.68599999999998,189.8,187.5,186.3,183.4,185.0,2.297849235938468
2024-01-19,187.1,188.5,189.3,186.7,152760000.0,-0.64,186.89000000000001,182.882,191.2,189.8,187.5,186.3,183.4,2.2902935280082226
2024-01-18,188.3,188.0,189.3,187.7,134890000.0,0.16,187.0,183.1,187.1,191.2,189.8,187.5,186.3,2.3328570942546163
2024-01-17,188.0,187.4,191.1,186.8,244850000.0,0.64,187.17000000000002,183.326,188.3,187.1,191.2,189.8,187.5,2.338114149858725
2024-01-16,186.8,188.0,188.4,185.6,182390000.0,0.43,187.34,183.466,188.0,188.3,187.1,191.2,189.8,2.230196802474957
2024-01-15,186.0,181.0,186.0,181.0,208830000.0,3.1,187.44,183.586,186.8,188.0,188.3,187.1,191.2,2.1339582418054692
2024-01-12,180.4,181.4,182.8,180.0,215850000.0,-0.11,187.14000000000001,183.514,186.0,186.8,188.0,188.3,187.1,2.8543144730570473
2024-01-11,180.6,179.0,180.6,178.7,202650000.0,2.09,186.57,183.442,180.4,186.0,186.8,188.0,188.3,3.529888257594446
2024-01-10,176.9,176.2,177.4,175.9,168390000.0,1.03,185.51,183.32,180.6,180.4,186.0,186.8,188.0,4.637396300127567
2024-01-09,175.1,173.9,175.4,173.9,156440000.0,0.69,184.04000000000002,183.15200000000002,176.9,180.6,180.4,186.0,186.8,5.3944827782130655
2024-01-05,173.9,173.5,175.0,173.1,185150000.0,0.69,182.31,183.026,175.1,176.9,180.6,180.4,186.0,5.61277313119066
2024-01-04,172.7,170.1,173.3,169.5,161220000.0,0.23,180.87,182.838,173.9,175.1,176.9,180.6,180.4,6.0754606592600355
2023-12-29,172.3,172.1,173.4,170.9,147770000.0,0.23,179.27,182.66600000000003,172.7,173.9,175.1,176.9,180.6,6.007781990422024
2023-12-28,171.9,172.4,173.9,171.5,116890000.0,0.17,177.66000000000003,182.49400000000003,172.3,172.7,173.9,175.1,176.9,5.548012657198962
2023-12-27,171.6,171.2,172.0,171.0,114350000.0,0.47,176.14000000000001,182.29,171.9,172.3,172.7,173.9,175.1,4.7970361219769515
2023-12-26,170.8,171.4,171.5,169.9,104940000.0,-0.29,174.62,182.09399999999997,171.6,171.9,172.3,172.7,173.9,3.5791991655485558
2023-12-25,171.3,172.3,172.6,171.1,57830000.0,-0.35,173.71,181.90200000000002,170.8,171.6,171.9,172.3,172.7,3.066467384828908
2023-12-22,171.9,170.6,172.4,170.6,127000000.0,0.82,172.83999999999997,181.692,171.3,170.8,171.6,171.9,172.3,1.9109043815830224
2023-12-21,170.5,169.6,171.0,169.0,134070000.0,0.71,172.2,181.392,171.9,171.3,170.8,171.6,171.9,1.4047538337129595
2023-12-20,169.3,167.8,169.9,167.7,167640000.0,0.18,171.62000000000003,181.09599999999998,170.5,171.9,171.3,170.8,171.6,1.264735369772571
2023-12-19,169.0,169.5,169.9,167.5,211520000.0,0.06,171.13000000000002,180.83399999999997,169.3,170.5,171.9,171.3,170.8,1.232026334494253
2023-12-18,168.9,169.7,169.8,168.4,173360000.0,-0.53,170.75,180.59799999999998,169.0,169.3,170.5,171.9,171.3,1.2791055902894644
2023-12-15,169.8,170.0,170.9,169.3,221750000.0,-0.29,170.5,180.38,168.9,169.0,169.3,170.5,171.9,1.1832159566194036
2023-12-14,170.3,171.6,171.8,170.3,150860000.0,-0.93,170.34,180.172,169.8,168.9,169.0,169.3,170.5,1.0762073323579755
2023-12-13,171.9,173.1,173.7,171.9,114940000.0,0.0,170.37,179.96399999999997,170.3,169.8,168.9,169.0,169.3,1.118580449597193
2023-12-12,171.9,171.6,173.2,171.4,126300000.0,-0.06,170.48000000000002,179.732,171.9,170.3,169.8,168.9,169.0,1.2154560186745185
2023-12-11,172.0,171.3,172.0,171.0,109510000.0,0.88,170.55,179.52200000000002,171.9,171.9,170.3,169.8,168.9,1.2860361149235378
2023-12-08,170.5,171.6,172.4,170.5,212600000.0,-1.22,170.41000000000003,179.292,172.0,171.9,171.9,170.3,169.8,1.195779615517717
2023-12-07,172.6,171.2,172.8,171.0,147470000.0,-0.4,170.62,179.13199999999998,170.5,172.0,171.9,171.9,170.3,1.383072264521123
2023-12-06,173.3,171.8,173.7,171.3,142110000.0,1.46,171.02000000000004,178.958,172.6,170.5,172.0,171.9,171.9,1.5295605759675068
2023-12-05,170.8,171.3,171.5,170.5,141310000.0,-0.41,171.20000000000002,178.74200000000002,173.3,172.6,170.5,172.0,171.9,1.362187782779583
2023-12-04,171.5,172.6,172.7,171.5,135230000.0,-0.98,171.46,178.546,170.8,173.3,172.6,170.5,172.0,1.0966616007980508
2023-12-01,173.2,174.0,174.1,172.7,146390000.0,0.06,171.8,178.34600000000003,171.5,170.8,173.3,172.6,170.5,1.0509255180280592
2023-11-30,173.1,172.0,173.1,171.4,201180000.0,0.64,172.07999999999998,178.18800000000002,173.2,171.5,170.8,173.3,172.6,0.9772978620201047
2023-11-29,172.0,173.1,173.2,172.0,110780000.0,-0.75,172.09,178.002,173.1,173.2,171.5,170.8,173.3,0.9757618106428754
2023-11-28,173.3,173.3,174.3,172.4,104480000.0,0.0,172.23,177.84799999999998,172.0,173.1,173.2,171.5,170.8,1.0435516278545476
2023-11-27,173.3,172.9,174.2,172.5,125390000.0,0.52,172.35999999999999,177.69799999999998,173.3,172.0,173.1,173.2,171.5,1.0915839663321212
2023-11-24,172.4,174.0,174.2,172.3,122520000.0,-0.4,172.55,177.56,173.3,173.3,172.0,173.1,173.2,0.8759122228967512
2023-11-22,173.1,173.1,174.7,172.7,96950000.0,-0.46,172.6,177.35399999999998,172.4,173.3,173.3,172.0,173.1,0.8931840671303176
2023-11-21,173.9,173.2,174.4,172.8,109270000.0,0.23,172.66,177.16400000000002,173.1,172.4,173.3,173.3,172.0,0.96286609199242
2023-11-20,173.5,175.4,175.5,173.5,113240000.0,-1.08,172.93,176.9,173.9,173.1,172.4,173.3,173.3,0.7349225204799519
2023-11-17,175.4,173.1,175.4,172.9,119140000.0,1.98,173.32,176.658,173.5,173.9,173.1,172.4,173.3,0.9065195959134259
2023-11-16,172.0,171.9,173.4,171.8,111290000.0,-0.12,173.2,176.354,175.4,173.5,173.9,173.1,172.4,0.9988882709167827
2023-11-15,172.2,174.8,175.1,171.8,154790000.0,-1.49,173.10999999999999,176.07199999999997,172.0,175.4,173.5,173.9,173.1,1.0482260146433984
2023-11-14,174.8,175.6,176.0,174.3,87970000.0,0.4,173.39000000000001,175.866,172.2,172.0,175.4,173.5,173.9,1.0918384088812476
2023-11-13,174.1,173.4,174.3,172.6,113940000.0,0.75,173.47,175.64800000000002,174.8,172.2,172.0,175.4,173.5,1.1136027618088433
2023-11-10,172.8,169.1,173.7,169.1,157790000.0,1.83,173.42000000000002,175.43599999999998,174.1,174.8,172.2,172.0,175.4,1.1331372379359885
2023-11-09,169.7,168.5,170.7,167.8,167380000.0,0.83,173.15,175.104,172.8,174.1,174.8,172.2,172.0,1.6201851746011577
2023-11-08,168.3,171.8,172.9,168.0,303030000.0,-3.77,172.67000000000002,174.72,169.7,172.8,174.1,174.8,172.2,2.2321140950522715
